CEST_Timestamp,Checkout_Availability,Catalog_Availability,Traffic_Volume
2026-06-01 18:15:00,100.0,100.0,76
2026-06-01 18:16:00,100.0,100.0,113
2026-06-01 18:17:00,100.0,100.0,96
2026-06-01 18:18:00,100.0,100.0,90
2026-06-01 18:19:00,100.0,100.0,98
2026-06-01 18:20:00,100.0,100.0,92
2026-06-01 18:21:00,100.0,100.0,96
2026-06-01 18:22:00,100.0,100.0,70
2026-06-01 18:23:00,0.0,55.55555555555556,19
2026-06-01 18:24:00,0.0,63.29113924050633,86
2026-06-01 18:25:00,0.0,60.0,107
2026-06-01 18:26:00,0.0,67.63636363636364,295
2026-06-01 18:27:00,0.0,63.44827586206897,312
2026-06-01 18:28:00,0.0,61.672473867595826,307
2026-06-01 18:29:00,0.0,65.42372881355932,315
2026-06-01 18:30:00,0.0,64.35643564356435,331
2026-06-01 18:31:00,0.0,68.05555555555556,306
2026-06-01 18:32:00,0.0,58.48214285714286,304
2026-06-01 18:33:00,0.0,60.37735849056604,290
2026-06-01 18:34:00,0.0,60.36036036036037,301
2026-06-01 18:35:00,0.0,69.12442396313364,292
2026-06-01 18:36:00,0.0,76.01809954751131,303
2026-06-01 18:37:00,3.896103896103896,100.0,277
2026-06-01 18:38:00,90.0,100.0,288
2026-06-01 18:39:00,100.0,100.0,269
2026-06-01 18:40:00,100.0,100.0,280
2026-06-01 18:41:00,100.0,100.0,283
2026-06-01 18:42:00,100.0,100.0,0
